Year,Units,Federal state,GeoCode,County,Value
1991,1.000 EUR,,,,27.744
1992,1.000 EUR,,,,28.092
1993,1.000 EUR,,,,27.665
1994,1.000 EUR,,,,28.256
1995,1.000 EUR,,,,28.636
1996,1.000 EUR,,,,28.81
1997,1.000 EUR,,,,29.311
1998,1.000 EUR,,,,29.925
1999,1.000 EUR,,,,30.498
2000,1.000 EUR,,,,31.373
2001,1.000 EUR,,,,31.877
2002,1.000 EUR,,,,31.79
2003,1.000 EUR,,,,31.579
2004,1.000 EUR,,,,31.987
2005,1.000 EUR,,,,32.268
2006,1.000 EUR,,,,33.567
2007,1.000 EUR,,,,34.643
2008,1.000 EUR,,,,35.075
2009,1.000 EUR,,,,33.193
2010,1.000 EUR,,,,34.666
2011,1.000 EUR,,,,36.031
2012,1.000 EUR,,,,36.114
2013,1.000 EUR,,,,36.173
2014,1.000 EUR,,,,36.818
2015,1.000 EUR,,,,37.046
2016,1.000 EUR,,,,37.567
2017,1.000 EUR,,,,38.43
2018,1.000 EUR,,,,38.691
2019,1.000 EUR,,,,39.012
2020,1.000 EUR,,,,37.539
2021,1.000 EUR,,,,38.509
2022,1.000 EUR,,,,38.917
1991,1.000 EUR,Baden-Wuerttemberg,code08,,33.828
1992,1.000 EUR,Baden-Wuerttemberg,code08,,33.554
1993,1.000 EUR,Baden-Wuerttemberg,code08,,31.872
1994,1.000 EUR,Baden-Wuerttemberg,code08,,32.318
1995,1.000 EUR,Baden-Wuerttemberg,code08,,32.757
1996,1.000 EUR,Baden-Wuerttemberg,code08,,32.955
1997,1.000 EUR,Baden-Wuerttemberg,code08,,33.452
1998,1.000 EUR,Baden-Wuerttemberg,code08,,34.207
1999,1.000 EUR,Baden-Wuerttemberg,code08,,34.985
2000,1.000 EUR,Baden-Wuerttemberg,code08,,36.094
2001,1.000 EUR,Baden-Wuerttemberg,code08,,37.097
2002,1.000 EUR,Baden-Wuerttemberg,code08,,36.577
2003,1.000 EUR,Baden-Wuerttemberg,code08,,36.39
2004,1.000 EUR,Baden-Wuerttemberg,code08,,36.447
2005,1.000 EUR,Baden-Wuerttemberg,code08,,36.6
2006,1.000 EUR,Baden-Wuerttemberg,code08,,38.932
2007,1.000 EUR,Baden-Wuerttemberg,code08,,40.377
2008,1.000 EUR,Baden-Wuerttemberg,code08,,40.575
2009,1.000 EUR,Baden-Wuerttemberg,code08,,36.636
2010,1.000 EUR,Baden-Wuerttemberg,code08,,39.525
2011,1.000 EUR,Baden-Wuerttemberg,code08,,41.526
2012,1.000 EUR,Baden-Wuerttemberg,code08,,41.641
2013,1.000 EUR,Baden-Wuerttemberg,code08,,41.71
2014,1.000 EUR,Baden-Wuerttemberg,code08,,42.338
2015,1.000 EUR,Baden-Wuerttemberg,code08,,42.91
2016,1.000 EUR,Baden-Wuerttemberg,code08,,42.896
2017,1.000 EUR,Baden-Wuerttemberg,code08,,44.159
2018,1.000 EUR,Baden-Wuerttemberg,code08,,44.898
2019,1.000 EUR,Baden-Wuerttemberg,code08,,44.65
2020,1.000 EUR,Baden-Wuerttemberg,code08,,42.175
2021,1.000 EUR,Baden-Wuerttemberg,code08,,43.57
1991,1.000 EUR,Bavaria,code09,,31.338
1992,1.000 EUR,Bavaria,code09,,31.795
1993,1.000 EUR,Bavaria,code09,,30.919
1994,1.000 EUR,Bavaria,code09,,31.245
1995,1.000 EUR,Bavaria,code09,,31.369
1996,1.000 EUR,Bavaria,code09,,31.57
1997,1.000 EUR,Bavaria,code09,,32.147
1998,1.000 EUR,Bavaria,code09,,33.269
1999,1.000 EUR,Bavaria,code09,,34.087
2000,1.000 EUR,Bavaria,code09,,35.464
2001,1.000 EUR,Bavaria,code09,,36.25
2002,1.000 EUR,Bavaria,code09,,36.334
2003,1.000 EUR,Bavaria,code09,,35.688
2004,1.000 EUR,Bavaria,code09,,36.386
2005,1.000 EUR,Bavaria,code09,,36.808
2006,1.000 EUR,Bavaria,code09,,38.194
2007,1.000 EUR,Bavaria,code09,,39.34
2008,1.000 EUR,Bavaria,code09,,39.361
2009,1.000 EUR,Bavaria,code09,,37.736
2010,1.000 EUR,Bavaria,code09,,39.633
2011,1.000 EUR,Bavaria,code09,,41.905
2012,1.000 EUR,Bavaria,code09,,42.1
2013,1.000 EUR,Bavaria,code09,,42.357
2014,1.000 EUR,Bavaria,code09,,43.1
2015,1.000 EUR,Bavaria,code09,,43.445
2016,1.000 EUR,Bavaria,code09,,44.126
2017,1.000 EUR,Bavaria,code09,,45.475
2018,1.000 EUR,Bavaria,code09,,45.417
2019,1.000 EUR,Bavaria,code09,,45.985
2020,1.000 EUR,Bavaria,code09,,43.892
2021,1.000 EUR,Bavaria,code09,,45.126
1991,1.000 EUR,Berlin,code11,,28.004
1992,1.000 EUR,Berlin,code11,,28.982
1993,1.000 EUR,Berlin,code11,,29.759
1994,1.000 EUR,Berlin,code11,,30.274
1995,1.000 EUR,Berlin,code11,,30.812
1996,1.000 EUR,Berlin,code11,,30.599
1997,1.000 EUR,Berlin,code11,,30.3
1998,1.000 EUR,Berlin,code11,,30.804
1999,1.000 EUR,Berlin,code11,,31.053
2000,1.000 EUR,Berlin,code11,,31.686
2001,1.000 EUR,Berlin,code11,,31.698
2002,1.000 EUR,Berlin,code11,,31.077
2003,1.000 EUR,Berlin,code11,,30.414
2004,1.000 EUR,Berlin,code11,,30.182
2005,1.000 EUR,Berlin,code11,,30.79
2006,1.000 EUR,Berlin,code11,,31.83
2007,1.000 EUR,Berlin,code11,,32.765
2008,1.000 EUR,Berlin,code11,,33.955
2009,1.000 EUR,Berlin,code11,,33.534
2010,1.000 EUR,Berlin,code11,,34.467
2011,1.000 EUR,Berlin,code11,,35.491
2012,1.000 EUR,Berlin,code11,,34.914
2013,1.000 EUR,Berlin,code11,,34.539
2014,1.000 EUR,Berlin,code11,,34.988
2015,1.000 EUR,Berlin,code11,,35.741
2016,1.000 EUR,Berlin,code11,,37.023
2017,1.000 EUR,Berlin,code11,,38.097
2018,1.000 EUR,Berlin,code11,,39.209
2019,1.000 EUR,Berlin,code11,,40.051
2020,1.000 EUR,Berlin,code11,,38.446
2021,1.000 EUR,Berlin,code11,,39.743
1991,1.000 EUR,Brandenburg,code12,,12.819
1992,1.000 EUR,Brandenburg,code12,,14.076
1993,1.000 EUR,Brandenburg,code12,,15.751
1994,1.000 EUR,Brandenburg,code12,,17.497
1995,1.000 EUR,Brandenburg,code12,,18.886
1996,1.000 EUR,Brandenburg,code12,,19.631
1997,1.000 EUR,Brandenburg,code12,,19.974
1998,1.000 EUR,Brandenburg,code12,,20.105
1999,1.000 EUR,Brandenburg,code12,,20.84
2000,1.000 EUR,Brandenburg,code12,,21.432
2001,1.000 EUR,Brandenburg,code12,,21.538
2002,1.000 EUR,Brandenburg,code12,,21.649
2003,1.000 EUR,Brandenburg,code12,,21.741
2004,1.000 EUR,Brandenburg,code12,,22.175
2005,1.000 EUR,Brandenburg,code12,,22.431
2006,1.000 EUR,Brandenburg,code12,,23.325
2007,1.000 EUR,Brandenburg,code12,,23.799
2008,1.000 EUR,Brandenburg,code12,,24.407
2009,1.000 EUR,Brandenburg,code12,,23.85
2010,1.000 EUR,Brandenburg,code12,,24.659
2011,1.000 EUR,Brandenburg,code12,,24.989
2012,1.000 EUR,Brandenburg,code12,,25.347
2013,1.000 EUR,Brandenburg,code12,,25.485
2014,1.000 EUR,Brandenburg,code12,,26.406
2015,1.000 EUR,Brandenburg,code12,,26.442
2016,1.000 EUR,Brandenburg,code12,,26.793
2017,1.000 EUR,Brandenburg,code12,,27.375
2018,1.000 EUR,Brandenburg,code12,,27.473
2019,1.000 EUR,Brandenburg,code12,,27.886
2020,1.000 EUR,Brandenburg,code12,,26.898
2021,1.000 EUR,Brandenburg,code12,,27.068
1991,1.000 EUR,Bremen,code04,,38.67
1992,1.000 EUR,Bremen,code04,,38.047
1993,1.000 EUR,Bremen,code04,,36.524
1994,1.000 EUR,Bremen,code04,,37.235
1995,1.000 EUR,Bremen,code04,,37.35
1996,1.000 EUR,Bremen,code04,,37.41
1997,1.000 EUR,Bremen,code04,,38.586
1998,1.000 EUR,Bremen,code04,,39.119
1999,1.000 EUR,Bremen,code04,,39.291
2000,1.000 EUR,Bremen,code04,,41.345
2001,1.000 EUR,Bremen,code04,,42.255
2002,1.000 EUR,Bremen,code04,,42.851
2003,1.000 EUR,Bremen,code04,,43.167
2004,1.000 EUR,Bremen,code04,,43.124
2005,1.000 EUR,Bremen,code04,,43.616
2006,1.000 EUR,Bremen,code04,,45.582
2007,1.000 EUR,Bremen,code04,,46.219
2008,1.000 EUR,Bremen,code04,,46.338
2009,1.000 EUR,Bremen,code04,,42.022
2010,1.000 EUR,Bremen,code04,,44.196
2011,1.000 EUR,Bremen,code04,,45.128
2012,1.000 EUR,Bremen,code04,,46.384
2013,1.000 EUR,Bremen,code04,,45.75
2014,1.000 EUR,Bremen,code04,,46.054
2015,1.000 EUR,Bremen,code04,,45.739
2016,1.000 EUR,Bremen,code04,,46.006
2017,1.000 EUR,Bremen,code04,,46.316
2018,1.000 EUR,Bremen,code04,,46.089
2019,1.000 EUR,Bremen,code04,,45.388
2020,1.000 EUR,Bremen,code04,,43.608
2021,1.000 EUR,Bremen,code04,,45.152
1991,1.000 EUR,Hamburg,code02,,49.864
1992,1.000 EUR,Hamburg,code02,,49.115
1993,1.000 EUR,Hamburg,code02,,48.739
1994,1.000 EUR,Hamburg,code02,,49.086
1995,1.000 EUR,Hamburg,code02,,49.354
1996,1.000 EUR,Hamburg,code02,,50.454
1997,1.000 EUR,Hamburg,code02,,52.442
1998,1.000 EUR,Hamburg,code02,,53.352
1999,1.000 EUR,Hamburg,code02,,54.321
2000,1.000 EUR,Hamburg,code02,,55.52
2001,1.000 EUR,Hamburg,code02,,58.292
2002,1.000 EUR,Hamburg,code02,,58.448
2003,1.000 EUR,Hamburg,code02,,57.124
2004,1.000 EUR,Hamburg,code02,,57.556
2005,1.000 EUR,Hamburg,code02,,58.414
2006,1.000 EUR,Hamburg,code02,,59.218
2007,1.000 EUR,Hamburg,code02,,60.184
2008,1.000 EUR,Hamburg,code02,,62.367
2009,1.000 EUR,Hamburg,code02,,59.867
2010,1.000 EUR,Hamburg,code02,,60.112
2011,1.000 EUR,Hamburg,code02,,60.08
2012,1.000 EUR,Hamburg,code02,,59.854
2013,1.000 EUR,Hamburg,code02,,61.152
2014,1.000 EUR,Hamburg,code02,,60.434
2015,1.000 EUR,Hamburg,code02,,60.935
2016,1.000 EUR,Hamburg,code02,,61.417
2017,1.000 EUR,Hamburg,code02,,61.783
2018,1.000 EUR,Hamburg,code02,,61.305
2019,1.000 EUR,Hamburg,code02,,62.854
2020,1.000 EUR,Hamburg,code02,,58.479
2021,1.000 EUR,Hamburg,code02,,59.652
1991,1.000 EUR,Hesse,code06,,36.137
1992,1.000 EUR,Hesse,code06,,36.103
1993,1.000 EUR,Hesse,code06,,35.143
1994,1.000 EUR,Hesse,code06,,35.31
1995,1.000 EUR,Hesse,code06,,35.528
1996,1.000 EUR,Hesse,code06,,36.121
1997,1.000 EUR,Hesse,code06,,36.685
1998,1.000 EUR,Hesse,code06,,37.404
1999,1.000 EUR,Hesse,code06,,38.465
2000,1.000 EUR,Hesse,code06,,39.73
2001,1.000 EUR,Hesse,code06,,40.619
2002,1.000 EUR,Hesse,code06,,39.922
2003,1.000 EUR,Hesse,code06,,40.092
2004,1.000 EUR,Hesse,code06,,40.119
2005,1.000 EUR,Hesse,code06,,40.271
2006,1.000 EUR,Hesse,code06,,41.661
2007,1.000 EUR,Hesse,code06,,42.795
2008,1.000 EUR,Hesse,code06,,43.136
2009,1.000 EUR,Hesse,code06,,40.089
2010,1.000 EUR,Hesse,code06,,41.327
2011,1.000 EUR,Hesse,code06,,42.722
2012,1.000 EUR,Hesse,code06,,42.19
2013,1.000 EUR,Hesse,code06,,42.22
2014,1.000 EUR,Hesse,code06,,42.658
2015,1.000 EUR,Hesse,code06,,42.422
2016,1.000 EUR,Hesse,code06,,43.154
2017,1.000 EUR,Hesse,code06,,43.863
2018,1.000 EUR,Hesse,code06,,43.955
2019,1.000 EUR,Hesse,code06,,44.359
2020,1.000 EUR,Hesse,code06,,42.173
2021,1.000 EUR,Hesse,code06,,43.552
1991,1.000 EUR,Mecklenburg Western Pomerania,code13,,12.444
1992,1.000 EUR,Mecklenburg Western Pomerania,code13,,13.635
1993,1.000 EUR,Mecklenburg Western Pomerania,code13,,15.171
1994,1.000 EUR,Mecklenburg Western Pomerania,code13,,17.006
1995,1.000 EUR,Mecklenburg Western Pomerania,code13,,18.391
1996,1.000 EUR,Mecklenburg Western Pomerania,code13,,18.989
1997,1.000 EUR,Mecklenburg Western Pomerania,code13,,19.369
1998,1.000 EUR,Mecklenburg Western Pomerania,code13,,19.539
1999,1.000 EUR,Mecklenburg Western Pomerania,code13,,20.13
2000,1.000 EUR,Mecklenburg Western Pomerania,code13,,20.314
2001,1.000 EUR,Mecklenburg Western Pomerania,code13,,20.306
2002,1.000 EUR,Mecklenburg Western Pomerania,code13,,20.578
2003,1.000 EUR,Mecklenburg Western Pomerania,code13,,20.711
2004,1.000 EUR,Mecklenburg Western Pomerania,code13,,21.015
2005,1.000 EUR,Mecklenburg Western Pomerania,code13,,21.092
2006,1.000 EUR,Mecklenburg Western Pomerania,code13,,21.715
2007,1.000 EUR,Mecklenburg Western Pomerania,code13,,22.662
2008,1.000 EUR,Mecklenburg Western Pomerania,code13,,23.085
2009,1.000 EUR,Mecklenburg Western Pomerania,code13,,23.028
2010,1.000 EUR,Mecklenburg Western Pomerania,code13,,23.439
2011,1.000 EUR,Mecklenburg Western Pomerania,code13,,24.118
2012,1.000 EUR,Mecklenburg Western Pomerania,code13,,24.117
2013,1.000 EUR,Mecklenburg Western Pomerania,code13,,24.255
2014,1.000 EUR,Mecklenburg Western Pomerania,code13,,25.005
2015,1.000 EUR,Mecklenburg Western Pomerania,code13,,24.954
2016,1.000 EUR,Mecklenburg Western Pomerania,code13,,25.213
2017,1.000 EUR,Mecklenburg Western Pomerania,code13,,26.309
2018,1.000 EUR,Mecklenburg Western Pomerania,code13,,25.85
2019,1.000 EUR,Mecklenburg Western Pomerania,code13,,27.063
2020,1.000 EUR,Mecklenburg Western Pomerania,code13,,26.047
2021,1.000 EUR,Mecklenburg Western Pomerania,code13,,26.457
1991,1.000 EUR,Lower Saxony,code03,,27.474
1992,1.000 EUR,Lower Saxony,code03,,27.513
1993,1.000 EUR,Lower Saxony,code03,,26.766
1994,1.000 EUR,Lower Saxony,code03,,27.02
1995,1.000 EUR,Lower Saxony,code03,,26.553
1996,1.000 EUR,Lower Saxony,code03,,26.394
1997,1.000 EUR,Lower Saxony,code03,,26.753
1998,1.000 EUR,Lower Saxony,code03,,27.302
1999,1.000 EUR,Lower Saxony,code03,,27.642
2000,1.000 EUR,Lower Saxony,code03,,28.35
2001,1.000 EUR,Lower Saxony,code03,,28.206
2002,1.000 EUR,Lower Saxony,code03,,27.69
2003,1.000 EUR,Lower Saxony,code03,,27.546
2004,1.000 EUR,Lower Saxony,code03,,27.998
2005,1.000 EUR,Lower Saxony,code03,,28.562
2006,1.000 EUR,Lower Saxony,code03,,29.779
2007,1.000 EUR,Lower Saxony,code03,,30.686
2008,1.000 EUR,Lower Saxony,code03,,31.316
2009,1.000 EUR,Lower Saxony,code03,,29.719
2010,1.000 EUR,Lower Saxony,code03,,31.43
2011,1.000 EUR,Lower Saxony,code03,,32.944
2012,1.000 EUR,Lower Saxony,code03,,33.134
2013,1.000 EUR,Lower Saxony,code03,,32.812
2014,1.000 EUR,Lower Saxony,code03,,33.667
2015,1.000 EUR,Lower Saxony,code03,,33.186
2016,1.000 EUR,Lower Saxony,code03,,34.924
2017,1.000 EUR,Lower Saxony,code03,,35.145
2018,1.000 EUR,Lower Saxony,code03,,35.526
2019,1.000 EUR,Lower Saxony,code03,,36.219
2020,1.000 EUR,Lower Saxony,code03,,34.498
2021,1.000 EUR,Lower Saxony,code03,,35.014
1991,1.000 EUR,North Rhine-Westphalia,code05,,29.832
1992,1.000 EUR,North Rhine-Westphalia,code05,,29.89
1993,1.000 EUR,North Rhine-Westphalia,code05,,29.027
1994,1.000 EUR,North Rhine-Westphalia,code05,,29.285
1995,1.000 EUR,North Rhine-Westphalia,code05,,29.56
1996,1.000 EUR,North Rhine-Westphalia,code05,,29.453
1997,1.000 EUR,North Rhine-Westphalia,code05,,29.991
1998,1.000 EUR,North Rhine-Westphalia,code05,,30.602
1999,1.000 EUR,North Rhine-Westphalia,code05,,30.926
2000,1.000 EUR,North Rhine-Westphalia,code05,,31.621
2001,1.000 EUR,North Rhine-Westphalia,code05,,31.981
2002,1.000 EUR,North Rhine-Westphalia,code05,,32.009
2003,1.000 EUR,North Rhine-Westphalia,code05,,31.588
2004,1.000 EUR,North Rhine-Westphalia,code05,,32.034
2005,1.000 EUR,North Rhine-Westphalia,code05,,32.199
2006,1.000 EUR,North Rhine-Westphalia,code05,,33.196
2007,1.000 EUR,North Rhine-Westphalia,code05,,34.462
2008,1.000 EUR,North Rhine-Westphalia,code05,,34.986
2009,1.000 EUR,North Rhine-Westphalia,code05,,33.24
2010,1.000 EUR,North Rhine-Westphalia,code05,,34.159
2011,1.000 EUR,North Rhine-Westphalia,code05,,35.17
2012,1.000 EUR,North Rhine-Westphalia,code05,,35.03
2013,1.000 EUR,North Rhine-Westphalia,code05,,35.066
2014,1.000 EUR,North Rhine-Westphalia,code05,,35.676
2015,1.000 EUR,North Rhine-Westphalia,code05,,35.899
2016,1.000 EUR,North Rhine-Westphalia,code05,,36.083
2017,1.000 EUR,North Rhine-Westphalia,code05,,36.925
2018,1.000 EUR,North Rhine-Westphalia,code05,,37.386
2019,1.000 EUR,North Rhine-Westphalia,code05,,37.32
2020,1.000 EUR,North Rhine-Westphalia,code05,,35.638
2021,1.000 EUR,North Rhine-Westphalia,code05,,36.499
1991,1.000 EUR,Rhineland Palatinate,code07,,27.874
1992,1.000 EUR,Rhineland Palatinate,code07,,27.637
1993,1.000 EUR,Rhineland Palatinate,code07,,26.413
1994,1.000 EUR,Rhineland Palatinate,code07,,26.588
1995,1.000 EUR,Rhineland Palatinate,code07,,26.715
1996,1.000 EUR,Rhineland Palatinate,code07,,26.413
1997,1.000 EUR,Rhineland Palatinate,code07,,27.04
1998,1.000 EUR,Rhineland Palatinate,code07,,27.047
1999,1.000 EUR,Rhineland Palatinate,code07,,27.519
2000,1.000 EUR,Rhineland Palatinate,code07,,28.068
2001,1.000 EUR,Rhineland Palatinate,code07,,27.598
2002,1.000 EUR,Rhineland Palatinate,code07,,27.772
2003,1.000 EUR,Rhineland Palatinate,code07,,27.634
2004,1.000 EUR,Rhineland Palatinate,code07,,28.301
2005,1.000 EUR,Rhineland Palatinate,code07,,28.255
2006,1.000 EUR,Rhineland Palatinate,code07,,29.31
2007,1.000 EUR,Rhineland Palatinate,code07,,30.074
2008,1.000 EUR,Rhineland Palatinate,code07,,30.253
2009,1.000 EUR,Rhineland Palatinate,code07,,28.852
2010,1.000 EUR,Rhineland Palatinate,code07,,30.487
2011,1.000 EUR,Rhineland Palatinate,code07,,31.459
2012,1.000 EUR,Rhineland Palatinate,code07,,31.874
2013,1.000 EUR,Rhineland Palatinate,code07,,31.84
2014,1.000 EUR,Rhineland Palatinate,code07,,32.408
2015,1.000 EUR,Rhineland Palatinate,code07,,32.966
2016,1.000 EUR,Rhineland Palatinate,code07,,33.107
2017,1.000 EUR,Rhineland Palatinate,code07,,33.473
2018,1.000 EUR,Rhineland Palatinate,code07,,33.506
2019,1.000 EUR,Rhineland Palatinate,code07,,33.55
2020,1.000 EUR,Rhineland Palatinate,code07,,32.169
2021,1.000 EUR,Rhineland Palatinate,code07,,35.223
1991,1.000 EUR,Saarland,code10,,26.682
1992,1.000 EUR,Saarland,code10,,26.38
1993,1.000 EUR,Saarland,code10,,25.099
1994,1.000 EUR,Saarland,code10,,25.8
1995,1.000 EUR,Saarland,code10,,26.366
1996,1.000 EUR,Saarland,code10,,25.698
1997,1.000 EUR,Saarland,code10,,26.248
1998,1.000 EUR,Saarland,code10,,27.002
1999,1.000 EUR,Saarland,code10,,27.776
2000,1.000 EUR,Saarland,code10,,29.088
2001,1.000 EUR,Saarland,code10,,29.757
2002,1.000 EUR,Saarland,code10,,29.369
2003,1.000 EUR,Saarland,code10,,29.369
2004,1.000 EUR,Saarland,code10,,30.447
2005,1.000 EUR,Saarland,code10,,31.712
2006,1.000 EUR,Saarland,code10,,32.928
2007,1.000 EUR,Saarland,code10,,33.832
2008,1.000 EUR,Saarland,code10,,34.136
2009,1.000 EUR,Saarland,code10,,30.768
2010,1.000 EUR,Saarland,code10,,32.575
2011,1.000 EUR,Saarland,code10,,34.26
2012,1.000 EUR,Saarland,code10,,33.864
2013,1.000 EUR,Saarland,code10,,33.147
2014,1.000 EUR,Saarland,code10,,34.295
2015,1.000 EUR,Saarland,code10,,34.302
2016,1.000 EUR,Saarland,code10,,33.984
2017,1.000 EUR,Saarland,code10,,34.661
2018,1.000 EUR,Saarland,code10,,34.599
2019,1.000 EUR,Saarland,code10,,34.034
2020,1.000 EUR,Saarland,code10,,31.964
2021,1.000 EUR,Saarland,code10,,32.493
1991,1.000 EUR,Saxony,code14,,12.328
1992,1.000 EUR,Saxony,code14,,13.685
1993,1.000 EUR,Saxony,code14,,15.464
1994,1.000 EUR,Saxony,code14,,17.491
1995,1.000 EUR,Saxony,code14,,18.991
1996,1.000 EUR,Saxony,code14,,19.65
1997,1.000 EUR,Saxony,code14,,19.704
1998,1.000 EUR,Saxony,code14,,20.076
1999,1.000 EUR,Saxony,code14,,20.526
2000,1.000 EUR,Saxony,code14,,20.776
2001,1.000 EUR,Saxony,code14,,21.29
2002,1.000 EUR,Saxony,code14,,21.932
2003,1.000 EUR,Saxony,code14,,22.368
2004,1.000 EUR,Saxony,code14,,22.947
2005,1.000 EUR,Saxony,code14,,22.991
2006,1.000 EUR,Saxony,code14,,24.177
2007,1.000 EUR,Saxony,code14,,25.043
2008,1.000 EUR,Saxony,code14,,25.191
2009,1.000 EUR,Saxony,code14,,24.337
2010,1.000 EUR,Saxony,code14,,25.301
2011,1.000 EUR,Saxony,code14,,26.306
2012,1.000 EUR,Saxony,code14,,26.508
2013,1.000 EUR,Saxony,code14,,26.591
2014,1.000 EUR,Saxony,code14,,27.431
2015,1.000 EUR,Saxony,code14,,27.908
2016,1.000 EUR,Saxony,code14,,28.319
2017,1.000 EUR,Saxony,code14,,28.979
2018,1.000 EUR,Saxony,code14,,29.218
2019,1.000 EUR,Saxony,code14,,29.719
2020,1.000 EUR,Saxony,code14,,28.535
2021,1.000 EUR,Saxony,code14,,29.396
1991,1.000 EUR,Saxony-Anhalt,code15,,11.993
1992,1.000 EUR,Saxony-Anhalt,code15,,13.24
1993,1.000 EUR,Saxony-Anhalt,code15,,15.064
1994,1.000 EUR,Saxony-Anhalt,code15,,16.735
1995,1.000 EUR,Saxony-Anhalt,code15,,17.557
1996,1.000 EUR,Saxony-Anhalt,code15,,18.256
1997,1.000 EUR,Saxony-Anhalt,code15,,18.845
1998,1.000 EUR,Saxony-Anhalt,code15,,19.104
1999,1.000 EUR,Saxony-Anhalt,code15,,19.565
2000,1.000 EUR,Saxony-Anhalt,code15,,20.016
2001,1.000 EUR,Saxony-Anhalt,code15,,20.154
2002,1.000 EUR,Saxony-Anhalt,code15,,20.904
2003,1.000 EUR,Saxony-Anhalt,code15,,21.099
2004,1.000 EUR,Saxony-Anhalt,code15,,21.561
2005,1.000 EUR,Saxony-Anhalt,code15,,21.686
2006,1.000 EUR,Saxony-Anhalt,code15,,22.743
2007,1.000 EUR,Saxony-Anhalt,code15,,23.513
2008,1.000 EUR,Saxony-Anhalt,code15,,23.893
2009,1.000 EUR,Saxony-Anhalt,code15,,22.869
2010,1.000 EUR,Saxony-Anhalt,code15,,24.16
2011,1.000 EUR,Saxony-Anhalt,code15,,24.271
2012,1.000 EUR,Saxony-Anhalt,code15,,25.108
2013,1.000 EUR,Saxony-Anhalt,code15,,25.118
2014,1.000 EUR,Saxony-Anhalt,code15,,25.522
2015,1.000 EUR,Saxony-Anhalt,code15,,25.617
2016,1.000 EUR,Saxony-Anhalt,code15,,26.008
2017,1.000 EUR,Saxony-Anhalt,code15,,26.412
2018,1.000 EUR,Saxony-Anhalt,code15,,26.521
2019,1.000 EUR,Saxony-Anhalt,code15,,27.132
2020,1.000 EUR,Saxony-Anhalt,code15,,26.278
2021,1.000 EUR,Saxony-Anhalt,code15,,27.02
1991,1.000 EUR,Schleswig-Holstein,code01,,26.163
1992,1.000 EUR,Schleswig-Holstein,code01,,26.224
1993,1.000 EUR,Schleswig-Holstein,code01,,25.564
1994,1.000 EUR,Schleswig-Holstein,code01,,25.687
1995,1.000 EUR,Schleswig-Holstein,code01,,25.986
1996,1.000 EUR,Schleswig-Holstein,code01,,26.129
1997,1.000 EUR,Schleswig-Holstein,code01,,26.542
1998,1.000 EUR,Schleswig-Holstein,code01,,26.591
1999,1.000 EUR,Schleswig-Holstein,code01,,26.692
2000,1.000 EUR,Schleswig-Holstein,code01,,27.221
2001,1.000 EUR,Schleswig-Holstein,code01,,27.468
2002,1.000 EUR,Schleswig-Holstein,code01,,26.821
2003,1.000 EUR,Schleswig-Holstein,code01,,26.664
2004,1.000 EUR,Schleswig-Holstein,code01,,27.054
2005,1.000 EUR,Schleswig-Holstein,code01,,27.086
2006,1.000 EUR,Schleswig-Holstein,code01,,27.83
2007,1.000 EUR,Schleswig-Holstein,code01,,28.162
2008,1.000 EUR,Schleswig-Holstein,code01,,28.881
2009,1.000 EUR,Schleswig-Holstein,code01,,27.883
2010,1.000 EUR,Schleswig-Holstein,code01,,28.188
2011,1.000 EUR,Schleswig-Holstein,code01,,28.994
2012,1.000 EUR,Schleswig-Holstein,code01,,29.74
2013,1.000 EUR,Schleswig-Holstein,code01,,29.427
2014,1.000 EUR,Schleswig-Holstein,code01,,29.807
2015,1.000 EUR,Schleswig-Holstein,code01,,29.809
2016,1.000 EUR,Schleswig-Holstein,code01,,30.21
2017,1.000 EUR,Schleswig-Holstein,code01,,30.922
2018,1.000 EUR,Schleswig-Holstein,code01,,31.022
2019,1.000 EUR,Schleswig-Holstein,code01,,31.728
2020,1.000 EUR,Schleswig-Holstein,code01,,30.71
2021,1.000 EUR,Schleswig-Holstein,code01,,31.31
1991,1.000 EUR,Thuringia,code16,,10.627
1992,1.000 EUR,Thuringia,code16,,12.605
1993,1.000 EUR,Thuringia,code16,,14.357
1994,1.000 EUR,Thuringia,code16,,16.214
1995,1.000 EUR,Thuringia,code16,,16.933
1996,1.000 EUR,Thuringia,code16,,17.492
1997,1.000 EUR,Thuringia,code16,,18.111
1998,1.000 EUR,Thuringia,code16,,18.642
1999,1.000 EUR,Thuringia,code16,,19.248
2000,1.000 EUR,Thuringia,code16,,19.736
2001,1.000 EUR,Thuringia,code16,,20.056
2002,1.000 EUR,Thuringia,code16,,20.262
2003,1.000 EUR,Thuringia,code16,,20.728
2004,1.000 EUR,Thuringia,code16,,21.24
2005,1.000 EUR,Thuringia,code16,,21.361
2006,1.000 EUR,Thuringia,code16,,22.361
2007,1.000 EUR,Thuringia,code16,,23.122
2008,1.000 EUR,Thuringia,code16,,23.288
2009,1.000 EUR,Thuringia,code16,,22.281
2010,1.000 EUR,Thuringia,code16,,23.596
2011,1.000 EUR,Thuringia,code16,,24.848
2012,1.000 EUR,Thuringia,code16,,24.979
2013,1.000 EUR,Thuringia,code16,,25.416
2014,1.000 EUR,Thuringia,code16,,26.421
2015,1.000 EUR,Thuringia,code16,,26.563
2016,1.000 EUR,Thuringia,code16,,26.873
2017,1.000 EUR,Thuringia,code16,,27.545
