Year,Units,Time series,COMMENT_OBS_0,Type of area,Federal state,GeoCode,Value
2007,Hectares per day,Moving four-year average,0,,Bremen,code04,0.0
2008,Hectares per day,Moving four-year average,0,,Bremen,code04,0.0
2009,Hectares per day,Moving four-year average,0,,Bremen,code04,0.0
2010,Hectares per day,Moving four-year average,0,,Bremen,code04,0.0
2011,Hectares per day,Moving four-year average,0,,Bremen,code04,0.0
2012,Hectares per day,Moving four-year average,0,,Bremen,code04,0.0
2013,Hectares per day,Moving four-year average,0,,Bremen,code04,0.0
2014,Hectares per day,Moving four-year average,0,,Bremen,code04,0.0
2015,Hectares per day,Moving four-year average,0,,Bremen,code04,0.0
2016,Hectares per day,Moving four-year average,0,,Bremen,code04,0.0
2017,Hectares per day,Moving four-year average,0,,Bremen,code04,0.0
2018,Hectares per day,Moving four-year average,0,,Bremen,code04,0.0
2019,Hectares per day,Moving four-year average,0,,Bremen,code04,0.0
2020,Hectares per day,Moving four-year average,-,,Bremen,code04,0.0
2021,Hectares per day,Moving four-year average,-,,Bremen,code04,0.0
2022,Hectares per day,Moving four-year average,,,Bremen,code04,0.0
2023,Hectares per day,Moving four-year average,…,,Bremen,code04,
2030,Hectares per day,Moving four-year average,…,,Bremen,code04,
1996,Hectares per day,Moving four-year average,,,Hamburg,code02,0.0
1997,Hectares per day,Moving four-year average,,,Hamburg,code02,
1998,Hectares per day,Moving four-year average,,,Hamburg,code02,
1999,Hectares per day,Moving four-year average,,,Hamburg,code02,
2000,Hectares per day,Moving four-year average,,,Hamburg,code02,0.0
2001,Hectares per day,Moving four-year average,.,,Hamburg,code02,
2002,Hectares per day,Moving four-year average,.,,Hamburg,code02,
2003,Hectares per day,Moving four-year average,.,,Hamburg,code02,
2004,Hectares per day,Moving four-year average,,,Hamburg,code02,1.0
2005,Hectares per day,Moving four-year average,,,Hamburg,code02,1.0
2006,Hectares per day,Moving four-year average,,,Hamburg,code02,1.0
2007,Hectares per day,Moving four-year average,,,Hamburg,code02,1.0
2008,Hectares per day,Moving four-year average,,,Hamburg,code02,1.0
2009,Hectares per day,Moving four-year average,0,,Hamburg,code02,0.0
2010,Hectares per day,Moving four-year average,0,,Hamburg,code02,0.0
2011,Hectares per day,Moving four-year average,0,,Hamburg,code02,0.0
2012,Hectares per day,Moving four-year average,0,,Hamburg,code02,0.0
2013,Hectares per day,Moving four-year average,0,,Hamburg,code02,0.0
2014,Hectares per day,Moving four-year average,-,,Hamburg,code02,0.0
2015,Hectares per day,Moving four-year average,0,,Hamburg,code02,0.0
2016,Hectares per day,Moving four-year average,,,Hamburg,code02,-1.0
2017,Hectares per day,Moving four-year average,,,Hamburg,code02,-1.0
2018,Hectares per day,Moving four-year average,0,,Hamburg,code02,0.0
2019,Hectares per day,Moving four-year average,0,,Hamburg,code02,0.0
2020,Hectares per day,Moving four-year average,-,,Hamburg,code02,0.0
2021,Hectares per day,Moving four-year average,0,,Hamburg,code02,0.0
2022,Hectares per day,Moving four-year average,0,,Hamburg,code02,0.0
2023,Hectares per day,Moving four-year average,…,,Hamburg,code02,
2030,Hectares per day,Moving four-year average,…,,Hamburg,code02,
1996,Hectares per day,Moving four-year average,,,Hesse,code06,5.0
1997,Hectares per day,Moving four-year average,,,Hesse,code06,
1998,Hectares per day,Moving four-year average,,,Hesse,code06,
1999,Hectares per day,Moving four-year average,,,Hesse,code06,
2000,Hectares per day,Moving four-year average,,,Hesse,code06,5.0
2001,Hectares per day,Moving four-year average,.,,Hesse,code06,
2002,Hectares per day,Moving four-year average,.,,Hesse,code06,
2003,Hectares per day,Moving four-year average,.,,Hesse,code06,
