Year,Units,Teilindizes,Value
1990,2030 = 100,,76.571
1991,2030 = 100,,72.271
1992,2030 = 100,,71.288
1993,2030 = 100,,73.097
1994,2030 = 100,,76.604
1995,2030 = 100,,73.082
1996,2030 = 100,,76.048
1997,2030 = 100,,72.785
1998,2030 = 100,,70.136
1999,2030 = 100,,74.822
2000,2030 = 100,,71.864
2001,2030 = 100,,71.115
2002,2030 = 100,,69.744
2003,2030 = 100,,69.809
2004,2030 = 100,,72.457
2005,2030 = 100,,70.991
2006,2030 = 100,,70.212
2007,2030 = 100,,70.06
2008,2030 = 100,,70.34
2009,2030 = 100,,67.219
2010,2030 = 100,,67.973
2011,2030 = 100,,66.195
2012,2030 = 100,,70.411
2013,2030 = 100,,67.814
2014,2030 = 100,,67.006
2015,2030 = 100,,69.773
2016,2030 = 100,,70.502
2030,2030 = 100,,
1990,2030 = 100,Teilindex Wälder,81.624
1991,2030 = 100,Teilindex Wälder,77.149
1992,2030 = 100,Teilindex Wälder,76.79
1993,2030 = 100,Teilindex Wälder,77.784
1994,2030 = 100,Teilindex Wälder,80.786
1995,2030 = 100,Teilindex Wälder,70.721
1996,2030 = 100,Teilindex Wälder,77.961
1997,2030 = 100,Teilindex Wälder,76.731
1998,2030 = 100,Teilindex Wälder,70.613
1999,2030 = 100,Teilindex Wälder,75.525
2000,2030 = 100,Teilindex Wälder,73.416
2001,2030 = 100,Teilindex Wälder,74.815
2002,2030 = 100,Teilindex Wälder,74.307
2003,2030 = 100,Teilindex Wälder,78.529
2004,2030 = 100,Teilindex Wälder,79.188
2005,2030 = 100,Teilindex Wälder,79.598
2006,2030 = 100,Teilindex Wälder,78.604
2007,2030 = 100,Teilindex Wälder,75.276
2008,2030 = 100,Teilindex Wälder,81.808
2009,2030 = 100,Teilindex Wälder,73.269
2010,2030 = 100,Teilindex Wälder,79.536
2011,2030 = 100,Teilindex Wälder,80.187
2012,2030 = 100,Teilindex Wälder,86.987
2013,2030 = 100,Teilindex Wälder,87.071
2014,2030 = 100,Teilindex Wälder,84.293
2015,2030 = 100,Teilindex Wälder,90.834
2016,2030 = 100,Teilindex Wälder,87.507
1990,2030 = 100,Teilindex Siedlungen,80.76
1991,2030 = 100,Teilindex Siedlungen,73.731
1992,2030 = 100,Teilindex Siedlungen,68.36
1993,2030 = 100,Teilindex Siedlungen,75.142
1994,2030 = 100,Teilindex Siedlungen,71.935
1995,2030 = 100,Teilindex Siedlungen,75.152
1996,2030 = 100,Teilindex Siedlungen,85.294
1997,2030 = 100,Teilindex Siedlungen,77.357
1998,2030 = 100,Teilindex Siedlungen,75.51
1999,2030 = 100,Teilindex Siedlungen,74.896
2000,2030 = 100,Teilindex Siedlungen,69.777
2001,2030 = 100,Teilindex Siedlungen,69.65
2002,2030 = 100,Teilindex Siedlungen,63.368
2003,2030 = 100,Teilindex Siedlungen,59.161
2004,2030 = 100,Teilindex Siedlungen,66.464
2005,2030 = 100,Teilindex Siedlungen,66.47
2006,2030 = 100,Teilindex Siedlungen,65.079
2007,2030 = 100,Teilindex Siedlungen,66.038
